CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,Rain,Radn,MaxT,MinT,ThermalTime,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1991-07-30 12:00:00,1991,211,EarlyPodDevelopment,5.557129106598802,0,24.184558868408203,32.0099983215332,14.789999961853027,11.346759167129019,0,1,1,1,0.8183142410357014,Simulation,2
1,1,Field,1991-07-31 12:00:00,1991,212,EarlyPodDevelopment,5.6243973269785075,0,26.038496017456055,30.579999923706055,10.270000457763672,9.417550853158701,0,1,1,1,0.7032093188434879,Simulation,2
1,1,Field,1991-08-01 12:00:00,1991,213,EarlyPodDevelopment,5.690311385639384,0,22.33371925354004,27.510000228881836,12.75,9.227968212522676,0,1,1,1,0.8679948957480866,Simulation,2
1,1,Field,1991-08-02 12:00:00,1991,214,EarlyPodDevelopment,5.757209157501328,8.84000015258789,17.046228408813477,28.020000457763672,12.369999885559082,9.365688060672134,0,1,1,1,0.9999999999999998,Simulation,2
1,1,Field,1991-08-03 12:00:00,1991,215,EarlyPodDevelopment,5.812565170531484,0,18.02007484436035,23.81999969482422,12.90999984741211,7.749841824221876,0,0.8364999771118165,1,0.8364999771118165,1,Simulation,2
1,1,Field,1991-08-04 12:00:00,1991,216,EarlyPodDevelopment,5.8636884154896745,0,23.627132415771484,26.030000686645508,9.289999961853027,7.157254294146639,0,0.7660000324249268,1,0.7660000324249268,0.8379334130327866,Simulation,2
1,1,Field,1991-08-05 12:00:00,1991,217,EarlyPodDevelopment,5.925884979091151,3.490000009536743,15.765353202819824,26.25,12.229999542236328,8.707518904206795,0,0.9239999771118165,1,0.9239999771118165,1,Simulation,2
1,1,Field,1991-08-06 12:00:00,1991,218,EarlyPodDevelopment,5.99170514141904,0,16.917463302612305,24.950000762939453,14.4399995803833,9.214822725904321,0,0.9695000171661378,1,0.9695000171661378,1,Simulation,2
1,1,Field,1991-08-07 12:00:00,1991,219,EarlyGrainFilling,6.0311019649092925,0,12.959101676940918,23.469999313354492,15.819999694824219,9.24629818343494,34.06936331553381,0.9644999504089355,1,0.9644999504089355,1,Simulation,2
1,1,Field,1991-08-08 12:00:00,1991,220,EarlyGrainFilling,6.073469245427208,0,20.722129821777344,28.549999237060547,14.229999542236328,11.013459305193141,75.63632354832941,1,1,1,0.7575051405073053,Simulation,2
1,1,Field,1991-08-09 12:00:00,1991,221,EarlyGrainFilling,6.111513157938205,0,24.289386749267578,30.030000686645508,10.25,9.889591145058693,114.05500525109902,1,1,1,0.562627876309941,Simulation,2
1,1,Field,1991-08-10 12:00:00,1991,222,EarlyGrainFilling,6.15526028115487,0,22.748388290405273,30.510000228881836,12.609999656677246,11.372152174418622,159.36065187490274,1,1,1,0.5655456821187548,Simulation,2
1,1,Field,1991-08-11 12:00:00,1991,223,EarlyGrainFilling,6.200061903477411,0,22.83966064453125,31.450000762939453,12.6899995803833,11.646271325989009,206.90412669301645,1,1,1,0.5153893345525357,Simulation,2
1,1,Field,1991-08-12 12:00:00,1991,224,EarlyGrainFilling,6.245399333453615,0,22.68349838256836,31.84000015258789,12.779999732971191,11.785555597174167,256.07281106728624,1,1,1,0.48341770863189476,Simulation,2
1,1,Field,1991-08-13 12:00:00,1991,225,EarlyGrainFilling,6.292984925511299,0,21.847169876098633,33.13999938964844,14.649999618530273,12.36996982657909,308.7098945773586,1,1,1,0.4595925565377262,Simulation,2
1,1,Field,1991-08-14 12:00:00,1991,226,EarlyGrainFilling,6.3435830420243855,0,20.369426727294922,32.849998474121094,16.239999771118164,13.153081583809852,362.40551125458495,1,1,1,0.4735241832243956,Simulation,2
1,1,Field,1991-08-15 12:00:00,1991,227,EarlyGrainFilling,6.3945742680210005,0,20.063505172729492,34.119998931884766,17.290000915527344,13.2552711802721,411.9396192815281,1,1,1,0.43901060416158555,Simulation,2
1,1,Field,1991-08-16 12:00:00,1991,228,EarlyGrainFilling,6.439736450928299,10.720000267028809,9.820741653442383,26.25,17.229999542236328,11.739999771118164,464.42858339415926,1,1,1,1,Simulation,2
1,1,Field,1991-08-17 12:00:00,1991,229,EarlyGrainFilling,6.48372534279917,0,17.59902000427246,27.950000762939453,14.920000076293945,11.4350004196167,516.4077359034827,1,1,1,0.6689193896341451,Simulation,2
1,1,Field,1991-08-18 12:00:00,1991,230,EarlyGrainFilling,6.514192508095576,0,17.77190589904785,24.280000686645508,11.5600004196167,7.920000553131103,553.1285615803598,0.7920000553131104,1,0.7920000553131104,0.7001663927993843,Simulation,2
1,1,Field,1991-08-19 12:00:00,1991,231,EarlyGrainFilling,6.545221249339634,0,21.790922164916992,27.219999313354492,8.84000015258789,8.06598334387541,591.1468693146107,0.8029999732971191,1,0.8029999732971191,0.5084919571558632,Simulation,2
1,1,Field,1991-08-20 12:00:00,1991,232,EarlyGrainFilling,6.588075312357608,0,20.109037399291992,29.549999237060547,12.729999542236328,11.139999389648438,644.424760063564,1,1,1,0.48879345113276285,Simulation,2
1,1,Field,1991-08-21 12:00:00,1991,233,EarlyGrainFilling,6.6396619734024815,0,18.1131534576416,31.209999084472656,16.18000030517578,13.41005571193695,693.7498916886111,1,1,1,0.4692551763177674,Simulation,2
1,1,Field,1991-08-22 12:00:00,1991,234,EarlyGrainFilling,6.690215433030285,0,18.763505935668945,32.130001068115234,15.890000343322754,13.14147293716669,739.2866589144433,1,1,1,0.41539108370525685,Simulation,2
